Timestamp; Temperature; Humidity
20:29; 23,0; 40,6
20:31; 23,0; 40,4
20:33; 23,1; 40,5
20:35; 23,1; 40,1
20:37; 23,1; 40,1
20:39; 23,1; 39,9
20:41; 23,1; 40,0
20:43; 23,2; 39,9
20:45; 23,2; 39,8
20:47; 23,2; 39,7
20:49; 23,2; 39,4
20:51; 23,2; 39,6
20:53; 23,2; 39,4
20:55; 23,2; 39,6
20:57; 23,2; 39,6
20:59; 23,1; 38,6
21:01; 23,2; 39,6
21:03; 23,2; 39,7
21:05; 23,2; 40,0
21:07; 23,2; 40,1
21:09; 23,1; 39,4
21:11; 23,2; 39,6
21:13; 23,1; 38,1
21:15; 23,2; 39,2
21:17; 23,2; 39,0
21:19; 23,2; 39,2
21:21; 23,3; 39,4
21:23; 23,3; 40,1
21:25; 23,3; 40,7
21:27; 23,4; 41,2
21:29; 23,4; 41,8
21:31; 23,4; 41,9
21:33; 23,5; 42,2
21:35; 23,5; 42,3
21:37; 23,6; 42,6
21:39; 23,6; 42,6
21:41; 23,6; 42,8
21:43; 23,7; 43,0
21:45; 23,6; 42,6
21:47; 23,7; 42,9
21:49; 23,7; 42,8
21:51; 23,7; 42,8
21:53; 23,8; 42,7
21:55; 23,8; 42,7
21:57; 23,8; 42,7
21:59; 23,9; 42,4
22:01; 23,9; 42,4
22:03; 23,9; 42,6
22:05; 23,9; 42,3
22:07; 23,9; 42,3
22:09; 23,9; 42,3
22:11; 23,9; 42,2
22:13; 23,9; 41,9
22:15; 23,8; 41,9
22:17; 23,8; 41,8
22:19; 23,8; 41,4
22:21; 23,8; 41,1
22:23; 23,8; 40,7
22:25; 23,8; 40,6
22:27; 23,8; 40,7
22:29; 23,8; 41,5
22:31; 23,8; 41,9
22:33; 23,8; 42,2
22:35; 23,8; 42,4
22:37; 23,8; 42,3
22:39; 23,8; 42,3
22:41; 23,8; 42,3
22:43; 23,8; 42,3
22:45; 23,7; 42,2
22:47; 23,7; 42,0
22:49; 23,7; 41,8
22:51; 23,7; 41,5
22:53; 23,7; 41,2
22:55; 23,7; 41,2
22:57; 23,7; 40,7
22:59; 23,6; 40,6
23:01; 23,6; 40,4
23:03; 23,6; 39,9
23:05; 23,6; 40,0
23:07; 23,6; 40,0
23:09; 23,6; 39,6
23:11; 23,6; 39,8
23:13; 23,6; 39,7
23:15; 23,6; 39,7
23:17; 23,5; 39,2
23:19; 23,5; 38,3
23:21; 23,6; 39,1
23:23; 23,6; 39,4
23:25; 23,6; 39,3
23:27; 23,6; 39,3
23:29; 23,6; 39,3
23:31; 23,6; 39,3
23:33; 23,6; 39,6
23:35; 23,6; 39,5
23:37; 23,6; 39,7
23:39; 23,6; 38,8
23:41; 23,5; 39,2
23:43; 23,5; 39,1
23:45; 23,5; 38,6
23:47; 23,5; 38,0
23:49; 23,5; 38,0
23:51; 23,6; 37,8
23:53; 23,6; 37,6
23:55; 23,6; 37,4
23:57; 23,6; 37,4
23:59; 23,6; 37,1
